Stream,Dist,Proportion_Downstream,W_2019,W_1957,Curve,Curvepos,Slump,Migdist,MR,Mignorm,MRnorm
SC,1500,0.322580645,13.08,4.93,0.00858389,0.00858389,6,1,0.016129032,0.202839757,0.001233106
SC,1530,0.329032258,15.95,6.95,0.006284376,0.006284376,5,2.35,0.037903226,0.338129496,0.002376378
SC,1560,0.335483871,22.26,7.38,0.001318353,0.001318353,5,4.9,0.079032258,0.66395664,0.003550416
SC,1590,0.341935484,17.85,6.84,-0.003384503,0.003384503,4,0.47,0.007580645,0.06871345,0.000424686
SC,1620,0.348387097,19.1,6.71,-0.005814641,0.005814641,4,2.99,0.048225806,0.445603577,0.002524911
SC,1650,0.35483871,17.77,10.23,-0.00642254,0.00642254,7,0.81,0.013064516,0.079178886,0.000735201
SC,1680,0.361290323,19.63,7.59,-0.006006534,0.006006534,3,1.48,0.023870968,0.194993412,0.001216045
SC,1710,0.367741935,19.37,8.97,-0.006226283,0.006226283,6,2.32,0.037419355,0.258639911,0.00193182
SC,1740,0.374193548,21.25,8.25,-0.005394555,0.005394555,11,0.9,0.014516129,0.109090909,0.000683112
SC,1770,0.380645161,24.32,9.79,-0.001887945,0.001887945,7,2.88,0.046451613,0.294177732,0.001910017
SC,1800,0.387096774,21.62,9.52,0.003749026,0.003749026,8,1.2,0.019354839,0.12605042,0.000895228
SC,1830,0.393548387,21.17,11.17,0.015777682,0.015777682,15,1.22,0.019677419,0.109221128,0.000929495
SC,1860,0.4,30.84,20.07,0.029234666,0.029234666,6,0.58,0.009354839,0.028898854,0.000303335
SC,1890,0.406451613,27.91,22.91,0.016902709,0.016902709,10,1.72,0.027741935,0.075076386,0.000993978
SC,1920,0.412903226,18.28,10.98,0.005652039,0.005652039,8,0.59,0.009516129,0.053734062,0.000520576
SC,1950,0.419354839,24.71,13.78,0.000359785,0.000359785,3,1.3,0.020967742,0.094339623,0.000848553
SC,1980,0.425806452,31.41,28.18,-0.004261457,0.004261457,4,1.66,0.026774194,0.058907026,0.00085241
SC,2010,0.432258065,28.72,27.16,-0.009351778,0.009351778,9,2.11,0.034032258,0.077687776,0.001184967
